hotel name,rating,rating text,place,near by place,discount price,actual price,facilities,destination name,,
Hotel Sai Inn.,3,Good,Near Ahmedabad Airport,1.6 km drive to Sardar Vallabhbhai Patel International Airport,990,1399,24-hour Room Service,Ahmedabad,,
Hotel Campus,2.9,Average,Jodhpur,Not Available,1096,1800,24-hour Room Service,Ahmedabad,,
Hotel gopi palace,3.6,Very Good,Memnagar,Not Available,953,1099,24-hour Room service,Ahmedabad,,
Super Hotel O Geeta Mandir formerly Hotel Green Park,3.5,Very Good,Behrampura,1.0 km drive to GSRTC Central Bus Depot,1702,3163,24-hour Room service,Ahmedabad,,
Hotel Shrimad Ahmedabad,3.1,Good,Chandkheda,2.9 km drive to Narendra Modi Stadium,971,1800,Spa,Ahmedabad,,
RK ICON,3.8,Very Good,Navrangpura,Not Available,1802,2800,Spa,Ahmedabad,,
Hotel Sigma Inn,3.7,Very Good,Chandkheda,2.8 km drive to Narendra Modi Stadium,1710,1800,24-hour Room service,Ahmedabad,,
Hotel Jay Villa Grand,3.9,Very Good,Ellisbridge,2.9 km drive to GSRTC Central Bus Depot,1242,2000,Fireplace,Ahmedabad,,
Hotel NOVA Prime,2.3,Average,Thaltej,Not Available,1222,2600,24-hour Room service,Ahmedabad,,
Hotel Saffron,4,Very Good,Changodar,25.4 km from city centre,940,1100,Restaurant,Ahmedabad,,
Hotel Lotus Pink,2.4,Average,Memnagar,Not Available,4392,4999,24-hour Room service,Ahmedabad,,
Hotel Patang24,3.5,Very Good,Sarkhej Gandhinagar highway,Not Available,1879,2199,24-hour Room service,Ahmedabad,,
Peradiot Hotel,1.9,Poor,Vastrapur,5 minutes walk to Ahmedabad One Mall,1158,1699,24-hour Room service,Ahmedabad,,
Hotel Royal Crown,3.3,Good,Bopal,Not Available,1846,2700,Restaurant,Ahmedabad,,
HOTEL ROYAL 21,2.7,Average,Gurukul,6 minutes walk to Ahmedabad One Mall,1408,2199,Restaurant,Ahmedabad,,
Exora Inn,4,Very Good,Paldi,7 minutes walk to Gandhigram Railway Station,3322,4300,Restaurant,Ahmedabad,,
Hotel Gitanjali Inn,3.4,Good,Navrangpura,Not Available,2100,3000,24-hour Room service,Ahmedabad,,
Marshall The Grand Hotel,3.9,Very Good,Paldi,Not Available,10999,10999,Lounge,Ahmedabad,,
HOTEL ROYAL 24,2.4,Average,GIDC Naroda,14.5 km from city centre,2595,4200,Restaurant,Ahmedabad,,
Hotel Marigold Naroda,4.2,Very Good,Naroda,8.9 km drive to Sardar Vallabhbhai Patel International Airport,1580,3599,24-hour Room service,Ahmedabad,,
Hotel Vice President,2.8,Average,Ashram Road,9.5 km drive to Sardar Vallabhbhai Patel International Airport,979,2699,Fireplace,Ahmedabad,,
FabHotel GL Residency - Satellite,2.9,Average,Jodhpur,Not Available,1430,3418,Restaurant,Ahmedabad,,
Hotel Stay Inn,3.8,Very Good,Changodar,23.0 km from city centre,1387,1800,24-hour Room Service,Ahmedabad,,
Hotel Krishna Palace.,2.6,Average,GIDC Naroda,6 minutes walk to Naroda Railway Station,817,1250,24-hour Room service,Ahmedabad,,
Hotel Royal Plaza(Paldi),2.5,Average,Paldi,Not Available,1077,1400,Restaurant,Ahmedabad,,
FabHotel Crystal Inn II - Paldi Char Rasta,2.2,Average,Paldi,3.0 km drive to GSRTC Central Bus Depot,1327,3172,Fireplace,Ahmedabad,,
Hotel Lee Platinum,3.7,Very Good,GIDC Naroda,9.9 km drive to Sardar Vallabhbhai Patel International Airport,984,1999,Restaurant,Ahmedabad,,
Hotel The Era,3.3,Good,Keshav Nagar,830 m drive to Sabarmati Ashram,1532,2699,24-hour Room service,Ahmedabad,,
Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,3.6,Very Good,Behrampura,1.9 km drive to GSRTC Central Bus Depot,1291,2379,24-hour Room service,Ahmedabad,,
HOTEL CHANDRA PALACE,3.2,Good,Chandkheda,Not Available,1149,1500,Bonfire,Ahmedabad,,
Hotel Maple,3.9,Very Good,Bopal,Not Available,1159,3999,24-hour Room service,Ahmedabad,,
Hotel Silver Inn,3.5,Very Good,Ahmedabad,8.2 km drive to Sardar Vallabhbhai Patel International Airport,1196,1399,24-hour Room service,Ahmedabad,,
Hotel The S.G,3,Good,Sarkhej Gandhinagar highway,Not Available,1179,1699,24-hour Room Service,Ahmedabad,,
hotel prime view,4,Very Good,Sabarmati,2.0 km drive to Narendra Modi Stadium,1168,1799,24-hour Room Service,Ahmedabad,,
Hotel Pacific Villa,1.9,Poor,Khodiyar,9 minutes walk to Vaishnodevi Cir,2286,3000,Gym,Ahmedabad,,
Hotel Tirupati,3,Good,Odhav,Not Available,1192,2429,Kids Play Area,Ahmedabad,,
Marshall The Hotel,3.5,Very Good,Kalupur,5 minutes walk to Ahmedabad Railway Station,2200,3899,Restaurant,Ahmedabad,,
Hotel Metro Inn,2.6,Average,Kankaria,2 minutes walk to GSRTC Central Bus Depot,1627,2380,24-hour Room Service,Ahmedabad,,
Super Collection O Alpha One,3.3,Good,GIDC Naroda,9.0 km drive to Sardar Vallabhbhai Patel International Airport,931,1730,24-hour Room service,Ahmedabad,,
Hotel The Royal Plaza,2.7,Average,Sarkhej Gandhinagar highway,Not Available,2845,3500,24-hour Room Service,Ahmedabad,,
Hotel Midtown,3.1,Good,Khadia,2.6 km drive to GSRTC Central Bus Depot,2097,3619,24-hour Room Service,Ahmedabad,,
hotel new kunj villa,3.8,Very Good,Acher,1.8 km drive to Narendra Modi Stadium,1367,1600,Fireplace,Ahmedabad,,
Hotel Siddhartha Palace,3.1,Good,Shahibaug,5.5 km drive to Sardar Vallabhbhai Patel International Airport,2270,4319,Restaurant,Ahmedabad,,
Hotel Prime Town,3.2,Good,Sarkhej Gandhinagar highway,Not Available,2182,2500,24-hour Room service,Ahmedabad,,
PRITHVI HOTEL,3.7,Very Good,Maninagar,3.0 km drive to GSRTC Central Bus Depot,2250,2500,Restaurant,Ahmedabad,,
Hotel Pacific View,2.3,Average,Motera,2.9 km drive to Narendra Modi Stadium,1538,1800,Restaurant,Ahmedabad,,
Hotel Priya Palace,2.4,Average,Nana Chiloda,9.9 km drive to Sardar Vallabhbhai Patel International Airport,1385,1800,24-hour Room service,Ahmedabad,,
Hotel Mansarovar,3.5,Very Good,Maninagar,Not Available,1461,1800,Restaurant,Ahmedabad,,
Super Collection O Maninagar Near Railway Station formerly A1 Residency,3.5,Very Good,Maninagar,7 minutes walk to Maninagar Railway Station,1296,3039,24-hour Room service,Ahmedabad,,
HOTEL LINCOLN INN Ahmedabad,2.5,Average,GIDC Naroda,8.1 km drive to Sardar Vallabhbhai Patel International Airport,928,1120,24-hour Room service,Ahmedabad,,
Hotel Midnight,3.7,Very Good,Sarkhej Gandhinagar highway,Not Available,1159,1700,24-hour Room Service,Ahmedabad,,
Hotel Avion Inn,2.9,Average,Sarkhej Gandhinagar highway,Not Available,1190,2400,24-hour Room service,Ahmedabad,,
Hotel C.G. Plaza,3.6,Very Good,Ellisbridge,Not Available,1110,1299,Gym,Ahmedabad,,
Hotel Malwa Residency,3.7,Very Good,Kankaria,1.5 km drive to GSRTC Central Bus Depot,919,1200,24-hour Room service,Ahmedabad,,
HOTEL OZONE,2.9,Average,Sarkhej Gandhinagar highway,Not Available,1966,2519,24-hour Room Service,Ahmedabad,,
Hotel Red Rose,3.6,Very Good,Nikol,Not Available,1227,2700,24-hour Room service,Ahmedabad,,
Hotel Chatako (Near CTM Circle),3,Good,Jasodanagr,Not Available,1272,1650,Restaurant,Ahmedabad,,
Hotel Elite Inn,3.8,Very Good,Bopal,Not Available,1514,3600,Restaurant,Ahmedabad,,
The Nest Residency,3.7,Very Good,Asarwa,6.7 km drive to Sardar Vallabhbhai Patel International Airport,1701,2199,Fireplace,Ahmedabad,,
Hotel Lavit,4.3,Excellent,Sola Village,Not Available,1022,1500,24-hour Room service,Ahmedabad,,
Hotel Lords Inn,3.1,Good,Nana Chiloda,9.9 km drive to Sardar Vallabhbhai Patel International Airport,2106,2899,24-hour Room service,Ahmedabad,,
Hotel Lake Palace By G L Group,3.3,Good,Maninagar,Not Available,1188,1800,24-hour Room service,Ahmedabad,,
Hotel Pinnacle Villa,2.6,Average,Memnagar,Not Available,1281,1499,Spa,Ahmedabad,,
Hotel Acropole,3.3,Good,Jodhpur,8 minutes walk to Vastrapur Railway Station,1193,2100,Butler Services,Ahmedabad,,
"Hotel the Rajshree, Ashram Rd",2.4,Average,Ashram Road,9.7 km drive to Sardar Vallabhbhai Patel International Airport,751,1099,Fireplace,Ahmedabad,,
FabHotel Crystal - Nr. Odau Ring Road,3.1,Good,Odhav,Not Available,1232,2945,Restaurant,Ahmedabad,,
HOTEL FLOURISH INTERNATIONAL,4.2,Very Good,Changodar,24.2 km from city centre,3276,3600,Restaurant,Ahmedabad,,
Super Collection O Maninagar formerly Park Land,4,Very Good,Khokhra,2 minutes walk to Maninagar Railway Station,844,2148,24-hour Room service,Ahmedabad,,
Hotel Prime,3.7,Very Good,Bhadra,2.3 km drive to GSRTC Central Bus Depot,1419,2599,24-hour Room Service,Ahmedabad,,
Hotel Kalash Residency,3.5,Very Good,Navrangpura,Not Available,925,1350,Gym,Ahmedabad,,
FabExpress Royal Bird,3.2,Good,Chandlodia,Not Available,1168,2926,24-hour Room service,Ahmedabad,,
Hotel Regal Residency,3.5,Very Good,Ellisbridge,About a minute walk to Gandhigram Railway Station,2617,2999,Water Sports,Ahmedabad,,
Tandoor Palace Hotel (Nana Chiloda),4,Very Good,Nana Chiloda,9.1 km drive to Sardar Vallabhbhai Patel International Airport,1880,2200,Restaurant,Ahmedabad,,
Govardhan Guest House,3.5,Very Good,Bapunagar,Not Available,2617,2999,24-hour Room service,Ahmedabad,,
Hotel Radhe Group,3.3,Good,Chandkheda,8.7 km drive to Sardar Vallabhbhai Patel International Airport,1282,1500,Fireplace,Ahmedabad,,
Hotel Rudra Mahal,2.9,Average,Ellisbridge,3.0 km drive to GSRTC Central Bus Depot,1235,1700,24-hour Room service,Ahmedabad,,
Hotel Landmark,3.2,Good,Nana Chiloda,10.0 km drive to Sardar Vallabhbhai Patel International Airport,1454,1890,Restaurant,Ahmedabad,,
Hotel The Grand Radhey,3.2,Good,Nikol,Not Available,2337,4500,Spa,Ahmedabad,,
HOTEL MANGALYA,2.8,Average,Navrangpura,9.7 km drive to Sardar Vallabhbhai Patel International Airport,1367,2000,24-hour Room service,Ahmedabad,,
Hotel Cosmopolitan,4.2,Very Good,Navrangpura,Not Available,3593,4550,Restaurant,Ahmedabad,,
FabHotel SR Naroda,3.5,Very Good,GIDC Naroda,17.2 km from city centre,1406,3169,Fireplace,Ahmedabad,,
Hotel Circle Inn,3.1,Good,Sarkhej Gandhinagar highway,2 minutes walk to Vaishnodevi Cir,2020,3099,24-hour Room Service,Ahmedabad,,
Hotel Raj Tilak,3,Good,Paldi,10 minutes walk to Gandhigram Railway Station,981,1350,Lounge,Ahmedabad,,
Hotel Royal Park,3.1,Good,Motera,2.3 km drive to Narendra Modi Stadium,1000,1800,24-hour Room Service,Ahmedabad,,
HOTEL BASERA,3.5,Very Good,Kalupur,2.3 km drive to GSRTC Central Bus Depot,909,1200,24-hour Room Service,Ahmedabad,,
Hotel Bilva Tree,3.5,Very Good,Sola Village,Not Available,1537,2249,24-hour Room service,Ahmedabad,,
"The House of MG, Ahmedabad",4.5,Excellent,Mirzapur,2.6 km drive to GSRTC Central Bus Depot,11500,11500,Spa,Ahmedabad,,
Hotel O Satkar,3.8,Very Good,Navrangpura,Not Available,1000,2096,24-hour Room service,Ahmedabad,,
HOTEL GGC INN,2.8,Average,Chandkheda,Not Available,1175,1800,Spa,Ahmedabad,,
"Hotel Earth Inn, Subhash Bridge, Ahmedabad",4,Very Good,Keshav Nagar,770 m drive to Sabarmati Ashram,1709,2000,24-hour Room Service,Ahmedabad,,
FabHotel Bliss - Inside Suryam Trade Centre,2.8,Average,Odhav,Not Available,1219,3417,Restaurant,Ahmedabad,,
Hotel Comfort,3.6,Very Good,Sarkhej Gandhinagar highway,Not Available,1615,2100,24-hour Room Service,Ahmedabad,,
Hotel New Lake View,4,Very Good,Vastrapur,7 minutes walk to Ahmedabad One Mall,1392,1699,24-hour Room Service,Ahmedabad,,
Hotel Runway inn,3.1,Good,Near Ahmedabad Airport,2.7 km drive to Sardar Vallabhbhai Patel International Airport,1277,2200,24-hour Room Service,Ahmedabad,,
Hotel Green Fortune,3.3,Good,Naranpura,Not Available,2033,2799,24-hour Room Service,Ahmedabad,,
Hotel Sheraton Inn,3.7,Very Good,Paldi,Not Available,957,1500,Restaurant,Ahmedabad,,
Hotel Parth Palace,3.3,Good,Bapunagar,Not Available,1135,1499,24-hour Room Service,Ahmedabad,,
Hotel Krishna Chandkheda,3.2,Good,Chandkheda,Not Available,26021,50000,Restaurant,Ahmedabad,,
Hotel Gitanjali,2.5,Average,Kalupur,2.2 km drive to GSRTC Central Bus Depot,769,1299,24-hour Room service,Ahmedabad,,
Hotel O Sai Villa,2.1,Average,Bhat,9.0 km drive to Sardar Vallabhbhai Patel International Airport,1045,1929,24-hour Room service,Ahmedabad,,
Hotel sunsarovar,3.4,Good,Maninagar East,About a minute walk to Maninagar Railway Station,940,2149,Restaurant,Ahmedabad,,
Hotel Royal Apple,3.6,Very Good,Naroda,7.6 km drive to Sardar Vallabhbhai Patel International Airport,679,1259,Restaurant,Ahmedabad,,
Hotel Panetar Palace,3.7,Very Good,Odhav,Not Available,1154,1350,24-hour Room Service,Ahmedabad,,
Hotel Royal Stay,2.8,Average,Sarkhej Gandhinagar highway,Not Available,1636,2899,24-hour Room Service,Ahmedabad,,
Rajdeep Inn,2.5,Average,Prahlad Nagar,7 minutes walk to Prahlad Nagar Garden,2076,3780,Restaurant,Ahmedabad,,
HOTEL NEPTUNE,2.3,Average,Nikol,Not Available,1025,1199,24-hour Room Service,Ahmedabad,,
Hotel SD Prime,3.5,Very Good,Sabarmati,10.0 km drive to Sardar Vallabhbhai Patel International Airport,1966,2300,Restaurant,Ahmedabad,,
Hotel Shree Balaji Residency,3.5,Very Good,Navrangpura,9.9 km drive to Sardar Vallabhbhai Patel International Airport,2498,4000,24-hour Room service,Ahmedabad,,
HOTEL RAJVANSHI,2.7,Average,Sarkhej Gandhinagar highway,Not Available,769,900,24-hour Room service,Ahmedabad,,
Hotel Venus,2.3,Average,Chandkheda,Not Available,1743,2400,24-hour Room Service,Ahmedabad,,
Hotel Satluj,2.8,Average,Naroda,7.4 km drive to Sardar Vallabhbhai Patel International Airport,1705,2100,24-hour Room service,Ahmedabad,,
HOTEL SARVAGYA,2.2,Average,Navrangpura,Not Available,1923,2500,24-hour Room service,Ahmedabad,,
HOTEL MAX VILLA,3.9,Very Good,Sarkhej- Okaf,Not Available,2596,3500,24-hour Room service,Ahmedabad,,
Hotel Leisure,3.2,Good,Motera,2.8 km drive to Narendra Modi Stadium,732,2000,Restaurant,Ahmedabad,,
FabExpress Canada - Inside Gold Coast Complex,3.5,Very Good,Vastral,Not Available,1536,3669,Restaurant,Ahmedabad,,
Hotel O Red Apple,3.3,Good,Old Wadaj,2.3 km drive to Sabarmati Ashram,1425,2630,24-hour Room service,Ahmedabad,,
Collection O Airport Road formerly Hotel Kyra,2.9,Average,Hansol,3.3 km drive to Sardar Vallabhbhai Patel International Airport,1950,3600,24-hour Room service,Ahmedabad,,
Hotel Jaunt Safari,3.5,Very Good,Motera,2.9 km drive to Narendra Modi Stadium,657,900,24-hour Room service,Ahmedabad,,
Hotel Neelkamal,4,Very Good,Navrangpura,Not Available,1542,1899,24-hour Room Service,Ahmedabad,,
The Westend,3.8,Very Good,Ellisbridge,Not Available,4008,4500,24-hour Room Service,Ahmedabad,,
Hotel Sadbhav,3.2,Good,Shahibaug,5.3 km drive to Sardar Vallabhbhai Patel International Airport,1212,1600,24-hour Room service,Ahmedabad,,
Hotel RK Villa Bapunagar,3.3,Good,Bapunagar,Not Available,953,1399,24-hour Room service,Ahmedabad,,
Hotel Atlanta,2.8,Average,GIDC Naroda,9.0 km drive to Sardar Vallabhbhai Patel International Airport,1153,1349,24-hour Room service,Ahmedabad,,
Hotel German,4,Very Good,D Colony,Not Available,1269,1980,24-hour Room service,Ahmedabad,,
Hotel Shivaay,3.2,Good,Chandkheda,9.6 km drive to Sardar Vallabhbhai Patel International Airport,923,1080,24-hour Room service,Ahmedabad,,
FabHotel Galaxy I - Inside Sai Avenue,3,Good,Naroda,8.5 km drive to Sardar Vallabhbhai Patel International Airport,1224,2926,Fireplace,Ahmedabad,,
Hotel O Veejay,3.2,Good,Navrangpura,Not Available,871,1827,24-hour Room service,Ahmedabad,,
Hotel Lake Palace,2.4,Average,Gurukul,5 minutes walk to Ahmedabad One Mall,1197,1400,Swimming Pool,Ahmedabad,,
Hotel Anjani Inn,3.5,Very Good,Amraiwadi,Not Available,1435,2999,24-hour Room service,Ahmedabad,,
Hotel Shree Nivas,2.9,Average,Sarkhej Gandhinagar highway,Not Available,922,1199,24-hour Room Service,Ahmedabad,,
Hotel RJ Residency C.G. Road,3.6,Very Good,Navrangpura,Not Available,920,1350,24-hour Room service,Ahmedabad,,
Hotel Shiv Sagar Palace,2.8,Average,Odhav,Not Available,1816,2399,24-hour Room Service,Ahmedabad,,
"Hotel Madhav, Ahmedabad",3.4,Good,Odhav,Not Available,886,1529,24-hour Room service,Ahmedabad,,
Hotel Sunvilla,3.5,Very Good,Jodhpur,Not Available,1623,1899,24-hour Room service,Ahmedabad,,
Hotel Prime 24,3.5,Very Good,Navrangpura,Not Available,1197,1400,24-hour Room service,Ahmedabad,,
Hotel Hill Inn,2.8,Average,Ambli,Not Available,1135,1999,Butler Services,Ahmedabad,,
Hotel Avenue Lake,3.5,Very Good,Sarkhej Gandhinagar highway,Not Available,1709,2000,Butler Services,Ahmedabad,,
The Park Residency,3.9,Very Good,Gurukul,8 minutes walk to Ahmedabad One Mall,4095,4500,Restaurant,Ahmedabad,,
FabHotel Skyland - Inside Bhavya Shopping complex,3,Good,Bopal,Not Available,1428,3413,Restaurant,Ahmedabad,,
Hotel Madhav,3.6,Very Good,Ellisbridge,3 minutes walk to Parimal Garden,1026,1200,24-hour Room Service,Ahmedabad,,
Hotel O Malva,3.5,Very Good,Nikol,Not Available,1135,2111,24-hour Room service,Ahmedabad,,
Hotel Citizen Inn,1.9,Poor,Sarkhej Gandhinagar highway,Not Available,1713,2111,Restaurant,Ahmedabad,,
Hotel Seven,1.7,Poor,Old Wadaj,7 minutes walk to Sabarmati Ashram,1282,1500,Fireplace,Ahmedabad,,
Hotel O Navjivan,3.1,Good,Isanpur,Not Available,846,1571,24-hour Room service,Ahmedabad,,
hotel avenue sky,3.5,Very Good,Sarkhej Gandhinagar highway,Not Available,1623,1899,24-hour Room Service,Ahmedabad,,
THE GRAND PIANO HOTEL,3.5,Very Good,GIDC Naroda,9.0 km drive to Sardar Vallabhbhai Patel International Airport,1316,1800,24-hour Room Service,Ahmedabad,,
HOTEL BALWAS,3.4,Good,Mirzapur,2.7 km drive to GSRTC Central Bus Depot,1005,1359,24-hour Room Service,Ahmedabad,,
Hotel RK Rooms,3.5,Very Good,Maninagar,8 minutes walk to Maninagar Railway Station,825,1199,24-hour Room Service,Ahmedabad,,
Hotel Pratiksha,3.5,Very Good,Naroda,7.4 km drive to Sardar Vallabhbhai Patel International Airport,1638,2000,24-hour Room Service,Ahmedabad,,
Hotel Sun Shine,2.8,Average,Sola Village,Not Available,2050,2399,24-hour Room service,Ahmedabad,,
Super Hotel O Nana Chiloda Near Airport,3.9,Very Good,GIDC Naroda,9.0 km drive to Sardar Vallabhbhai Patel International Airport,898,2286,24-hour Room service,Ahmedabad,,
FabHotel Meritus Inn - Inside Global Business Park,2.6,Average,Odhav,Not Available,1327,3171,Fireplace,Ahmedabad,,
Hotel Sagar Inn,2.9,Average,Kalupur,2.8 km drive to GSRTC Central Bus Depot,1325,1550,Lounge,Ahmedabad,,
Atithi The Hotel,3.8,Very Good,Ellisbridge,Not Available,2093,2300,Restaurant,Ahmedabad,,
Hotel Shreenath,3.9,Very Good,Maninagar,2 minutes walk to Maninagar Railway Station,1363,2000,Restaurant,Ahmedabad,,
"Hotel Nilkanth,Ahmedabad",2.8,Average,Chandkheda,9.5 km drive to Sardar Vallabhbhai Patel International Airport,868,999,Restaurant,Ahmedabad,,
Hotel Skyland navrangpura,3.1,Good,Navrangpura,Not Available,1306,1500,24-hour Room service,Ahmedabad,,
Hotel Jasmine,2.6,Average,Paldi,Not Available,1217,1499,24-hour Room Service,Ahmedabad,,
juSTa Diwans Bungalow,3.5,Very Good,Raikhad,2.1 km drive to GSRTC Central Bus Depot,5639,7141,24-hour Room service,Ahmedabad,,
Hotel Pratham inn,3.4,Good,Vastrapur,5 minutes walk to Ahmedabad One Mall,1111,1529,24-hour Room Service,Ahmedabad,,
Hotel Shiv Villa,3.5,Very Good,Maninagar,5 minutes walk to Maninagar Railway Station,1514,1999,Restaurant,Ahmedabad,,
Hotel Riva Palace,3.9,Very Good,Ranip,1.3 km drive to Sabarmati Ashram,1609,2500,Butler Services,Ahmedabad,,
Hotel Anand Lake,4,Very Good,Bhat,6.4 km drive to Sardar Vallabhbhai Patel International Airport,1533,2250,24-hour Room Service,Ahmedabad,,
Hotel O Blue Moon,2.9,Average,Saraspur,8.7 km drive to Sardar Vallabhbhai Patel International Airport,959,1782,24-hour Room service,Ahmedabad,,
Hotel Darshan S.P. Ring Road,3.2,Good,Nava Naroda,14.9 km from city centre,1519,4500,Restaurant,Ahmedabad,,
HOTEL GAGAN PALACE,1.7,Poor,Changodar,20.6 km from city centre,855,1000,24-hour Room Service,Ahmedabad,,
Hotel Vimal Inn,3.5,Very Good,Gurukul,9 minutes walk to Ahmedabad One Mall,2302,2638,24-hour Room Service,Ahmedabad,,
Hotel Karnavati Palace,2.2,Average,Nikol,Not Available,1000,1300,24-hour Room Service,Ahmedabad,,
Hotel Season,2.8,Average,Near Ahmedabad Airport,1.8 km drive to Sardar Vallabhbhai Patel International Airport,2320,3000,24-hour Room Service,Ahmedabad,,
Hotel Niranta,4.1,Very Good,GIDC Vatwa,Not Available,1136,1500,Lounge,Ahmedabad,,
Hotel Sky INN,3.5,Very Good,Odhav,Not Available,2182,2500,24-hour Room service,Ahmedabad,,
Hotel Radhika Palace,1.9,Poor,Old Wadaj,2.1 km drive to Sabarmati Ashram,2355,2699,24-hour Room service,Ahmedabad,,
Hotel Dwarkesh,3.2,Good,Bhat,4.9 km drive to Sardar Vallabhbhai Patel International Airport,1538,1800,24-hour Room service,Ahmedabad,,
Hotel Viva Inn,3.2,Good,Gurukul,9 minutes walk to Ahmedabad One Mall,1506,1798,24-hour Room Service,Ahmedabad,,
Belvedere Golf & Country Club,4.3,Excellent,Shantigram,19.8 km from city centre,9306,11500,Swimming Pool,Ahmedabad,,
HOTEL ALPINE,3.5,Very Good,Maninagar,Not Available,1563,1829,24-hour Room Service,Ahmedabad,,
Hotel Ayaank,3.6,Very Good,Bopal,Not Available,984,1299,24-hour Room Service,Ahmedabad,,
Hotel Mahi Inn,3.5,Very Good,GIDC Vatwa,Not Available,937,1457,24-hour Room service,Ahmedabad,,
Hotel The Crown,3.5,Very Good,GIDC Naroda,9.0 km drive to Sardar Vallabhbhai Patel International Airport,478,699,24-hour Room Service,Ahmedabad,,
Hotel Moscow,3.2,Good,Maninagar,4 minutes walk to Maninagar Railway Station,1504,2200,Restaurant,Ahmedabad,,
Hotel Everest,3.3,Good,Changodar,23.2 km from city centre,1365,1499,24-hour Room service,Ahmedabad,,
Hotel Darshan And Restaurant,1.8,Poor,Shahibaug,5.9 km drive to Sardar Vallabhbhai Patel International Airport,1000,1170,Gym,Ahmedabad,,
Hotel Anushri Villa,4,Very Good,Keshav Nagar,890 m drive to Sabarmati Ashram,1367,1599,Restaurant,Ahmedabad,,
Hotel Angel,3.5,Very Good,GIDC Naroda,9.9 km drive to Sardar Vallabhbhai Patel International Airport,1025,1199,24-hour Room Service,Ahmedabad,,
Hotel Yellow Lime,3.3,Good,Sarkhej- Okaf,Not Available,2182,2500,Restaurant,Ahmedabad,,
HOTEL THE STAY LIONS,2.8,Average,Paldi,Not Available,1961,4500,Fireplace,Ahmedabad,,
Hotel Hari Om,3.5,Very Good,Vasna,Not Available,855,1000,24-hour Room service,Ahmedabad,,
Hotel Privilege Villa,2.9,Average,Ahmedabad,Not Available,1475,1800,24-hour Room Service,Ahmedabad,,
MTrip Hotel,3.3,Good,Sarkhej Gandhinagar highway,4 minutes walk to Prahlad Nagar Garden,1534,2699,Restaurant,Ahmedabad,,
Super Hotel O 828256 Hotel Yuvraj,3.5,Very Good,GIDC Naroda,9.0 km drive to Sardar Vallabhbhai Patel International Airport,744,1561,24-hour Room service,Ahmedabad,,
Hotel Anupam,3.2,Good,Paldi,Not Available,1310,1599,Fireplace,Ahmedabad,,
Hotel Maan Villa By G L Group,3.7,Very Good,Ellisbridge,Not Available,1438,1899,24-hour Room Service,Ahmedabad,,
Hotel Delux,2,Average,Bhadra,2.1 km drive to GSRTC Central Bus Depot,727,880,Restaurant,Ahmedabad,,
HOTEL TWILIGHT,3.1,Good,Kalupur,8.6 km drive to Sardar Vallabhbhai Patel International Airport,1979,2199,24-hour Room service,Ahmedabad,,
Hotel Nova Blue,3.7,Very Good,Nana Chiloda,9.9 km drive to Sardar Vallabhbhai Patel International Airport,1397,2000,Jacuzzi,Ahmedabad,,
Hotel Red Blue,3,Good,Naroda,8.9 km drive to Sardar Vallabhbhai Patel International Airport,2386,2899,24-hour Room service,Ahmedabad,,
Hotel RR Palace,3.6,Very Good,Chandkheda,8.7 km drive to Sardar Vallabhbhai Patel International Airport,1733,2000,24-hour Room Service,Ahmedabad,,
HOTEL RV RESIDENCY,3.5,Very Good,Gurukul,9 minutes walk to Ahmedabad One Mall,1292,1512,24-hour Room Service,Ahmedabad,,
Hotel Maan Palace Chandkheda,3.5,Very Good,Chandkheda,Not Available,954,1400,Butler Services,Ahmedabad,,
Palak Villa Hotel,2.9,Average,Ahmedabad,Not Available,1041,2500,24-hour Room service,Ahmedabad,,
Hotel Satellite Inn,3.1,Good,Jodhpur,Not Available,1675,2800,24-hour Room Service,Ahmedabad,,
Hotel O Ramnivas Residency,1.4,Poor,Sherkotda,7 minutes walk to GSRTC Central Bus Depot,628,1157,24-hour Room service,Ahmedabad,,
Hotel O Crystal,2.7,Average,Ashram Road,9.5 km drive to Sardar Vallabhbhai Patel International Airport,854,1575,Restaurant,Ahmedabad,,
Hotel Arotel,3.5,Very Good,GIDC Vatwa,Not Available,956,1599,Butler Services,Ahmedabad,,
Pearl Of Heaven The Hotel,3.2,Good,Changodar,20.3 km from city centre,2475,3200,Restaurant,Ahmedabad,,
Hotel Premium villa,3.5,Very Good,Chandkheda,Not Available,1453,1700,24-hour Room Service,Ahmedabad,,
Hotel Safar Inn,2.3,Average,Mirzapur,2.9 km drive to GSRTC Central Bus Depot,1153,1499,24-hour Room Service,Ahmedabad,,
hotel kings way,3.5,Very Good,Vatva,Not Available,1720,2000,24-hour Room service,Ahmedabad,,
FabExpress Gokul Villa - Inside Panch Ratna Complex,2.9,Average,Old Wadaj,2.2 km drive to Sabarmati Ashram,1226,2930,Fireplace,Ahmedabad,,
Hotel Royal Pride,3.3,Good,GIDC Vatwa,Not Available,1453,2000,24-hour Room service,Ahmedabad,,
Hotel Om Palace.,1.9,Poor,Ellisbridge,3.0 km drive to GSRTC Central Bus Depot,684,800,24-hour Room service,Ahmedabad,,
Hotel Marigold,2.4,Average,Sarkhej Gandhinagar highway,Not Available,1091,1349,24-hour Room service,Ahmedabad,,
Hotel Sai Villa Ashram Road,3.2,Good,Old Wadaj,2.6 km drive to Sabarmati Ashram,1471,2699,24-hour Room Service,Ahmedabad,,
