hotel name,rating,rating text,place,near by place,discount price,actual price,facilities,destination name,,
Hotel Angel,2.7,Average,"Devbagh, Bhavnagar",6.7 km drive to Bhavnagar Airport (BHU),941,1100,Restaurant,Bhavnagar,,
hotelsd9,3.9,Very Good,"Sardarnagar, Bhavnagar",4.6 km drive to Bhavnagar Airport (BHU),1499,2199,24-hour Room Service,Bhavnagar,,
Blackbuck Safari Lodge Velavadar,4.3,Excellent,"Rajgadh, Narbad",Not Available,7185,9550,Swimming Pool,Bhavnagar,,
Savvy Sanskar by Acasa,4.1,Very Good,"Palitana, Palitana",Not Available,2140,3200,Reception,Bhavnagar,,
"Tree of Life Darbargadh, Dared",4.5,Excellent,"Dared, Valabhipur",Not Available,6159,7162,Swimming Pool,Bhavnagar,,
HOTEL RELAX INN,2.9,Average,"Nawa Para, Bhavnagar",5.0 km drive to Bhavnagar Airport (BHU),941,1100,Lounge,Bhavnagar,,
Gautam Inn,3.4,Good,"Botad, Botad",Not Available,1696,2200,Kitchenette,Bhavnagar,,
Good Night Rooms | Rooms & Dorm,4.1,Very Good,"Panwadi, Bhavnagar",5.4 km drive to Bhavnagar Airport (BHU),1160,1350,Reception,Bhavnagar,,
Mount Shadow Resorts,3.2,Good,"Bhandaria, Bhandaria",Not Available,2621,3000,Swimming Pool,Bhavnagar,,
HOTEL HARE KRISHNA,4.5,Excellent,"Sihor, Sihor",3 minutes walk to Sihor Junction Railway Station,1158,1699,Restaurant,Bhavnagar,,
Asopalav Hotel,2.9,Average,"Devbagh, Bhavnagar",6.2 km drive to Bhavnagar Airport (BHU),713,1100,Restaurant,Bhavnagar,,
Kesarinandan Dormetry & Guesthouse,3.7,Very Good,"Kharama, Botad",Not Available,730,1000,Living Room,Bhavnagar,,
AMBIKA RESORT,4.3,Excellent,"Mahuva, Mahuva",Not Available,1412,1650,Restaurant,Bhavnagar,,
Nilambag Palace Hotel,4,Very Good,"Nilambaug, Bhavnagar",7.4 km drive to Bhavnagar Airport (BHU),7098,11999,Gym,Bhavnagar,,
Blackbuck Homestay,3.5,Very Good,"Narbad, Narbad",5 minutes walk to Velavadar Railway Station,3822,5200,Air Conditioning,Bhavnagar,,
HOTEL OM PALACE & PARTY PLOT,3.3,Good,"Palitana, Palitana",3 minutes walk to Palitana Railway Station,1249,1600,24-hour Room service,Bhavnagar,,
Krushnapriya Guest House,3.5,Very Good,"Panwadi, Bhavnagar",5.8 km drive to Bhavnagar Airport (BHU),856,1000,Parking,Bhavnagar,,
Hotel Silver Star,3.5,Very Good,"Panwadi, Bhavnagar",5.1 km drive to Bhavnagar Airport (BHU),1463,1800,Indoor Games,Bhavnagar,,
Hotel Comfort inn,2.9,Average,"Nawa Para, Bhavnagar",5.0 km drive to Bhavnagar Airport (BHU),898,1050,24-hour Room service,Bhavnagar,,
HOTEL NANDINI PALITANA,2.3,Average,"Palitana, Palitana",Not Available,2184,2500,Kids Play Area,Bhavnagar,,
HOTEL EVERLAND,2.3,Average,"Panwadi, Bhavnagar",6.6 km drive to Bhavnagar Airport (BHU),3931,4500,24-hour Room service,Bhavnagar,,
Dream Resort,4,Very Good,Bhujodi,10.6 km from city centre,2475,3200,Swimming Pool,Bhuj,,
Hotel Prince,3.9,Very Good,Lal Tekri,4.8 km drive to Bhuj Airport (BHJ),2304,5500,Gym,Bhuj,,
Hotel Nest,4.2,Very Good,Odhav Vandana II,1.3 km drive to Bhuj Airport (BHJ),2475,3200,24-hour Room Service,Bhuj,,
Ramee The Srinivas Palace,4.3,Excellent,Bhuj,Not Available,7302,9000,Air Conditioning,Bhuj,,
Hotel Kutch Desert,3.3,Good,Madhapar,9.1 km drive to Bhuj Airport (BHJ),1826,2500,Jacuzzi,Bhuj,,
SURKHAB RANN RESORT,3.8,Very Good,Gorewali,78.5 km from city centre,1536,1990,Restaurant,Bhuj,,
RYAN RESORT,3.3,Good,Airport Ring Rd,4.0 km drive to Bhuj Airport (BHJ),4725,6000,Jacuzzi,Bhuj,,
Amrutiya Farmview Suit,4.8,Excellent,Bhuj,Not Available,1677,3000,Shared Swimming Pool,Bhuj,,
DAZE OFF STUDIO HOUSE | Wi-Fi & Lawn,4.7,Excellent,Shivnagar,Not Available,2596,3000,Caretaker,Bhuj,,
